"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-16052011-063956";"";
"REFERENCE";"D2F-01F";"";
"TraceParts.PartTitle";"Ultra Subminiature Basic Switch – D2F";"";
"TraceParts.InstanceId";"10-16052011-063956CG97PTZ0WTLXX0BN18UGVHIQJ";"";
"DESIGN";"Ultra Subminiature Basic Switch, Micro loads - Low operating force, Pin plunger, PCB terminals";"";
"TraceParts.PartStatus";"Published";"";
"TraceParts.PartStatusId";"";"";
"SUPPLIER";"OMRON";"";
"TraceParts.PartVersion";"1.4.0";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.ClassPath";"OMRON:10-16052011-063956";"";
